name,region,size-mL,container,price,critic,critic_score
E. Guigal La Mouline Côte-Rôtie 2015,"Rhône, France",750,bottle,548.0,RP,97
E. Guigal La Landonne Côte-Rôtie 2015,"Rhône, France",750,bottle,548.0,WS,99
Château Pontet-Canet 2009,"Bordeaux, France",750,bottle,547.0,RP,100
Château Beychevelle 2000,"Bordeaux, France",750,bottle,545.0,RP,91
Solaia 2003,"Tuscany, Italy",750,bottle,543.0,JS,96
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2009,"Veneto, Italy",750,bottle,542.0,RP,99
Domaine de la Romanée-Conti Échézeaux Grand Cru 2015,"Burgundy, France",750,bottle,540.0,DEC,95
Lucien Le Moine Les Amoureuses Chambolle-Musigny 1er Cru 2017,"Burgundy, France",750,bottle,540.0,BH,91
Château La Mondotte 2016,"Bordeaux, France",750,bottle,537.85,WS,97
Louis Jadot Clos Saint-Denis Grand Cru 2016,"Burgundy, France",750,bottle,530.0,BH,92
Chateauneuf du Pape Les Secret des Sabon 2018,France,1500,bottle,527.05,none,0
Château Lynch-Bages 2005,"Bordeaux, France",750,bottle,525.0,WS,96
Romano Dal Forno Amarone della Valpolicella 2010,"Veneto, Italy",750,bottle,519.0,DEC,98
Antinori Guado al Tasso,"Tuscany, Italy",1500,bottle,518.0,none,0
Domaine d'Eugénie Clos-Vougeot Grand Cru,France,750,bottle,516.75,none,0
Ovid Hexameter,USA,750,bottle,515.0,none,0
Pieve Santa Restituta Rennina Brunello di Montalcino 2013,"Tuscany, Italy",1500,bottle,513.0,RP,95
Fontanafredda Riserva Barolo 1982,"Piedmont, Italy",750,bottle,513.0,none,0
Ovid Red,USA,750,bottle,510.0,none,0
Château Pichon-Longueville Baron 2012,"Bordeaux, France",1500,bottle,510.0,JS,94
E. Guigal La Turque Côte-Rôtie 2013,"Rhône, France",750,bottle,510.0,WS,98
Château Rauzan-Ségla 2015,"Bordeaux, France",1500,bottle,510.0,RP,97
E. Guigal Ex-Voto Ermitage 2015,"Rhône, France",750,bottle,507.0,JD,98
Domaine Hubert Lignier Charmes Chambertin Grand Cru 2011,"Burgundy, France",750,bottle,502.8,none,0
Domaine Roger Sabon Le Secrets des Sabon Chateauneuf du Pape 2015,"Rhône, France",1500,bottle,502.5,none,0
Vérité La Joie 2012,"California, USA",750,bottle,500.0,RP,100
Vérité Le Désir 2012,"California, USA",750,bottle,500.0,RP,100
Au Sommet Atlas Peak Cabernet Sauvignon 2015,"California, USA",750,bottle,499.7,none,0
E. Guigal La Turque Côte-Rôtie 2014,"Rhône, France",750,bottle,499.0,RP,98
Cardinale Cabernet Sauvignon 2016,"California, USA",750,bottle,499.0,RP,97
E. Guigal La Landonne Côte-Rôtie 2014,"Rhône, France",750,bottle,499.0,JD,97
Château Pontet-Canet 2010,"Bordeaux, France",750,bottle,499.0,RP,100
Château Lynch-Bages,"Bordeaux, France",750,bottle,499.0,none,0
Louis Latour Chambertin Cuvée Héritiers Grand Cru 2010,"Burgundy, France",750,bottle,498.0,BH,90
Castiglioni Giramonte 2012,"Tuscany, Italy",3000,bottle,497.95,JS,95
Yalumba The Caley Cabernet Sauvignon/Shiraz 2012,"South Australia, Australia",750,bottle,495.0,RP,96
Au Sommet Atlas Peak Cabernet Sauvignon 2014,"California, USA",750,bottle,494.6,none,0
Château Lynch-Bages 2005,"Bordeaux, France",750,bottle,480.0,WE,96
Zenato Archivio Storico Amarone della Valpolicella 2008,"Veneto, Italy",750,bottle,479.0,WS,94
Stag's Leap Wine Cellars Cask 23 Estate Cabernet Sauvignon 2010,"California, USA",750,bottle,475.0,VIN,93
Luce 2000,"Tuscany, Italy",1500,bottle,473.0,WE,92
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino 2006,"Tuscany, Italy",750,bottle,473.0,VIN,96
Col d'Orcia Brunello di Montalcino (Magnum) 2010,"Tuscany, Italy",1500,bottle,473.0,WS,93
Quintarelli Amarone della Valpolicella Classico 2012,"Veneto, Italy",750,bottle,472.0,none,0
Masi Mazzano Amarone della Valpolicella Classico 2006,"Veneto, Italy",1500,bottle,470.0,WS,94
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2013,"Veneto, Italy",750,bottle,467.0,RP,98
Staglin Family Cabernet Sauvignon 2014,"California, USA",750,bottle,465.0,RP,94
Amuse Bouche Napa Valley Red Blend 2015,"California, USA",750,bottle,463.95,none,0
Domaine Dujac Clos Saint-Denis Grand Cru 2017,"Burgundy, France",750,bottle,462.0,RP,95
Domaine Dujac Clos de La Roche Grand Cru 2017,"Burgundy, France",750,bottle,462.0,RP,94
Masi Campolongo di Torbe Amarone della Valpolicella Classico 2006,"Veneto, Italy",1500,bottle,460.0,JS,98
Solaia 2017,"Tuscany, Italy",750,bottle,458.0,VIN,95
Morlet Family Passionnément Cabernet Sauvignon 2013,"California, USA",750,bottle,455.0,RP,98
Antinori Guado al Tasso 2011,"Tuscany, Italy",1500,bottle,452.0,RP,95
Ao Yun Red 2014,China,750,bottle,451.6,none,0
Domaine de Montille Vosne-Romanée Les Malconsorts 1er Cru 2014,"Burgundy, France",750,bottle,450.0,RP,94
Château Palmer 2011,"Bordeaux, France",750,bottle,450.0,RP,96
Château Palmer 2012,"Bordeaux, France",750,bottle,450.0,RP,96
Château Palmer 2014,"Bordeaux, France",750,bottle,450.0,WE,97
Beringer Private Reserve Cabernet Sauvignon 2014,"California, USA",1500,bottle,450.0,RP,95
Tedeschi La Fabriseria Amarone della Valpolicella Classico 2007,"Veneto, Italy",750,bottle,450.0,RP,94
Cliff Lede Poetry Cabernet Sauvignon 2017,"California, USA",750,bottle,450.0,RP,98
Beringer Private Reserve Cabernet Sauvignon 2015,"California, USA",1500,bottle,450.0,JS,99
Penfolds Bin 169 Cabernet Sauvignon 2016,"South Australia, Australia",750,bottle,450.0,RP,97
Silver Oak Napa Valley Cabernet Sauvignon 2015,"California, USA",1500,bottle,450.0,none,0
Stags' Leap Audentia Cabernet Sauvignon 2015,"California, USA",750,bottle,450.0,RP,96
Château Palmer,"Bordeaux, France",750,bottle,450.0,none,0
Château Palmer,"Bordeaux, France",750,bottle,450.0,none,0
Château Palmer,"Bordeaux, France",750,bottle,450.0,none,0
Moillard Chambolle-Musigny 1934,"Burgundy, France",750,bottle,447.0,none,0
Lucien Le Moine Les Charmes Chambertin Grand Cru 2017,"Burgundy, France",750,bottle,444.0,BH,90
Giacosa Barolo Falletto 2016,"Piedmont, Italy",750,bottle,443.65,none,0
Dominus 2016,"California, USA",750,bottle,441.0,RP,100
Macán Clásico,"Rioja, Spain",3000,bottle,440.0,none,0
Domaine Pierre Damoy Chambertin-Clos De Bèze Grand Cru 2014,"Burgundy, France",750,bottle,439.0,BH,94
E. Guigal La Turque 2015,"Rhône, France",750,bottle,438.75,WS,99
Lucien Le Moine Clos Saint-Denis Grand Cru 2017,"Burgundy, France",750,bottle,437.0,none,0
Recrue des Sens GC 2015,France,750,bottle,435.25,none,0
Pio Cesare Ornato Barolo 2003,"Piedmont, Italy",1500,bottle,435.0,WS,94
Senses Wines Cabernet Sauvignon 2017,"California, USA",750,bottle,435.0,none,0
Louis Latour Château Corton Grancey Grand Cru 2015,"Burgundy, France",1500,bottle,434.0,JS,96
Roy Estate Cabernet Sauvignon 2015,"California, USA",750,bottle,430.0,RP,94
Antinori Guado al Tasso 2012,"Tuscany, Italy",1500,bottle,429.0,JS,96
Château Valandraud 2016,"Bordeaux, France",750,bottle,427.85,RP,96
Joseph Phelps Insignia,"California, USA",750,bottle,425.0,none,0
Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape 2014,"Rhône, France",750,bottle,425.0,RP,97
Stag's Leap Wine Cellars Cask 23 Cabernet Sauvignon 2016,"California, USA",750,bottle,425.0,RP,96
Château La Conseillante 2009,"Bordeaux, France",750,bottle,425.0,DEC,97
Château Ducru-Beaucaillou,"Bordeaux, France",750,bottle,425.0,none,0
Les Forts de Latour 2013,"Bordeaux, France",750,bottle,420.0,VIN,91
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino 2001,"Tuscany, Italy",750,bottle,420.0,VIN,94
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino 2007,"Tuscany, Italy",750,bottle,420.0,VIN,95
Château Canon 2016,"Bordeaux, France",750,bottle,418.85,RP,98
Château Pichon Baron 2016,"Bordeaux, France",750,bottle,418.85,RP,97
Château Figeac 2016,"Bordeaux, France",750,bottle,417.85,RP,98
Emidio Pepe Montepulciano Decanted 2001,"Abruzzo, Italy",750,bottle,415.9,none,0
Eisele Vineyard Cabernet Sauvignon 2015,"California, USA",375,bottle,415.0,RP,100
