title,region,country,score,num_reviews
Emidio Pepe Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Italy,4.2,7172
Eisele Vineyard Cabernet Sauvignon,Napa Valley,United States,4.6,3073
Domaine Ponsot Corton Grand Cru Cuvée du Bourdon,Corton Grand Cru,France,4.2,137
Domaine Ponsot Corton Grand Cru Cuvée du Bourdon,Corton Grand Cru,France,4.2,137
Peter Michael Les Pavots,Knights Valley,United States,4.6,2827
Peter Michael Au Paradis Cabernet Sauvignon,Oakville,United States,4.6,2368
Domaine Dujac Échézeaux Grand Cru,Échezeaux Grand Cru,France,4.4,371
Lail Vineyards J. Daniel Cuvée Cabernet Sauvignon,Napa Valley,United States,4.6,1191
Château les Carmes Haut-Brion Pessac-Léognan,Pessac-Léognan,France,4.1,3842
Jim Barry The Armagh Shiraz,Clare Valley,Australia,4.5,1894
Luce della Vite Luce,Toscana,Italy,4.4,12362
Faiveley Mazis-Chambertin Grand Cru,Mazis-Chambertin Grand Cru,France,4.3,722
Peter Michael Les Pavots,Knights Valley,United States,4.6,2827
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Château Rauzan-Ségla Ségla Margaux,Margaux,France,4.1,9562
Château Pichon Longueville Comtesse de Lalande Pauillac (Grand Cru Classé),Pauillac,France,4.4,30166
Ceretto Bricco Rocche Barolo Brunate,Barolo,Italy,4.3,182
Luce della Vite Lux Vitis,Toscana,Italy,4.4,179
Dalla Valle Cabernet Sauvignon,Napa Valley,United States,4.5,1743
Domaine Sol Payré Cuvée Ivresse des Sens,Côtes du Roussillon,France,3.9,1133
Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38
Château La France Bordeaux,Bordeaux,France,3.7,79
Château Troplong Mondot Un Amour de Mondot,Saint-Émilion,France,4.3,29
Castello Nipozzano Mormoreto Toscana,Toscana,Italy,4.2,6483
Casanova di Neri Tenuta Nuova Brunello di Montalcino,Brunello di Montalcino,Italy,4.5,15734
Ceretto Bricco Rocche Barolo Brunate,Barolo,Italy,4.3,182
Tuck Beckstoffer Mad Hatter,North Coast,United States,4.3,401
Gaja Conteisa Barolo,Barolo,Italy,4.3,59
